,athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,h to w ratio,first_name,born_year
135539,138753,Omar Hodžić,2002-09-21,,,,Serbia,,,,,Omar,2002.0
137049,140285,Olivia Weedon,2002-03-30,,,,Great Britain,,,,,Olivia,2002.0
136540,139767,Oleh-Roman Pylypiv,2002-04-08,,,,Ukraine,185.0,82.0,,2.2560975609756095,Oleh-Roman,2002.0
135589,138803,Oleg Domichek,2002-04-30,Biysk,Altay Kray,RUS,Russian Federation,165.0,52.0,,3.173076923076923,Oleg,2002.0
135352,138566,Ohra Kimishima,2002-06-28,,,,Japan,,,,,Ohra,2002.0
136930,140166,Oddbjørn Mellemstrand,2002-01-10,Stavanger,Rogaland,NOR,Norway,,,,,Oddbjørn,2002.0
137251,140601,Oceania Mackenzie,2002-07-11,Heidelberg,Baden-Württemberg,GER,Australia,,,,,Oceania,2002.0
135430,138644,Nodar Kozanashvili,2002-01-22,,,,Georgia,,,,,Nodar,2002.0
136685,139917,Noa Coutton-Jean,2002-07-15,,,,France,,,,,Noa,2002.0
144014,147678,Nishy Lindo,2002-11-30,San José,San José,CRC,Costa Rica,,,,,Nishy,2002.0
135340,138554,Nino Kurtanidze,2002-05-31,,,,Georgia,,,,,Nino,2002.0
135689,138903,Nina Seemann,2002-10-20,Clovis,California,USA,United States,,,,,Nina,2002.0
137625,140988,Nina Sterckx,2002-07-26,Sint-Denijs-Westrem,Oost-Vlaanderen,BEL,Belgium,,,,,Nina,2002.0
136706,139938,Nimayongqing ,2002-06-12,,,,People's Republic of China,,,,,Nimayongqing,2002.0
135961,139177,Nils Rhyner,2002-12-20,,,,Switzerland,,,,,Nils,2002.0
136945,140181,Nil Llop,2002-09-20,El Prat de Llobregat,Barcelona,ESP,Spain,,,,,Nil,2002.0
135821,139035,Nikolai Holmboe,2002-03-08,Bærum,Viken,NOR,Norway,,,,,Nikolai,2002.0
136529,139755,Nikola Domowicz,2002-08-30,,,,Poland,,,,,Nikola,2002.0
135802,139016,Nikita Pisarev,2002-07-29,,,,Russian Federation,,,,,Nikita,2002.0
136919,140155,Nikita Filippov,2002-11-22,,,,Russian Federation,,,,,Nikita,2002.0
135302,138516,Nika Murovec,2002-02-11,,,,Slovenia,,,,,Nika,2002.0
136678,139910,Niels Conradt,2002-12-22,,,,Germany,,,,,Niels,2002.0
135447,138661,Nicolás Pirozzi,2002-02-12,,,,Chile,,,,,Nicolás,2002.0
139118,142568,Nicolás García,2002-06-18,Madrid,Madrid,ESP,Spain,189.0,68.0,,2.7794117647058822,Nicolás,2002.0
137786,141162,Nicole Pircio,2002-07-24,Piracicaba,São Paulo,BRA,Brazil,166.0,48.0,,3.4583333333333335,Nicole,2002.0
135578,138792,Nicolae Girbacea,2002-08-11,,,,Romania,,,,,Nicolae,2002.0
135319,138533,Nicola Rountree-Williams,2002-07-07,Princeton,New Jersey,USA,United States,,,,,Nicola,2002.0
136013,139234,Nicola Bolinger,2002-04-20,,,,Switzerland,,,,,Nicola,2002.0
136970,140206,Nicky Rosanelli,2002-07-23,Trento,Trento,ITA,Italy,,,,,Nicky,2002.0
136774,140010,Nick Pünter,2002-03-01,,,,Switzerland,,,,,Nick,2002.0
145379,149102,Nick Page,2002-08-01,Hollywood,Florida,USA,United States,,,,,Nick,2002.0
143507,147159,Nevin Harrison,2002-06-02,Seattle,Washington,USA,United States,175.0,73.0,,2.3972602739726026,Nevin,2002.0
144602,148294,Nelli Laitinen,2002-04-29,Lohja,Uusimaa,FIN,Finland,,,,,Nelli,2002.0
136875,140111,Nele Kaschinski,2002-04-07,,,,Germany,,,,,Nele,2002.0
139413,142886,Nathanaël Mbuku,2002-03-16,Villeneuve-Saint-Georges,Val-de-Marne,FRA,France,,,,,Nathanaël,2002.0
135463,138677,Nathan Besnard,2002-12-11,,,,France,,,,,Nathan,2002.0
135856,139070,Nathan Young,2002-11-18,,,,Canada,,,,,Nathan,2002.0
135663,138877,Nathalie Horstmann,2002-04-17,,,,Germany,,,,,Nathalie,2002.0
140435,143944,Natalie Raits,2002-07-01,,,,Israel,,,,,Natalie,2002.0
135545,138759,Naomi Walch,2002-11-30,,,,Canada,,,,,Naomi,2002.0
136562,139789,Nadiya Antoniuk,2002-01-19,,,,Ukraine,171.0,60.0,,2.85,Nadiya,2002.0
136579,139806,Nadia Falkensteiner,2002-08-09,Brunico,Bolzano-Bozen,ITA,Italy,,,,,Nadia,2002.0
143247,146889,Nadia Ben Azizi,2002-07-09,,,,Tunisia,,,,,Nadia,2002.0
142680,146297,Mădă Amăistroaie,2002-12-09,Suceava,Suceava,ROU,Romania,,,,,Mădă,2002.0
135810,139024,Märta Rosenberg,2002-03-12,,,,Sweden,,,,,Märta,2002.0
136947,140183,Myrthe de Boer,2002-02-18,,,,Netherlands,,,,,Myrthe,2002.0
142833,146460,Mustapha Cassiem,2002-03-19,,,,South Africa,,,,,Mustapha,2002.0
141553,145125,Munzer Kabbara,2002-09-03,Tripoli,Ash-Shamal,LBN,Lebanon,,,,,Munzer,2002.0
141489,145045,Mun Seung-Wu,2002-12-03,,,,Republic of Korea,,,,,Mun,2002.0
